Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
43,I,as Infield,1914,3680,,74343,65510,7460,16671,2473,882,328,6727,2494,2070,5975,6402,.254,.320,.334,.654,21892,894,557,1726,574,184,1845,.275,,
44,I,as 1B,1914,3680,,15172,13511,1600,3618,541,205,106,1664,495,428,1041,1372,.268,.323,.362,.685,4887,179,129,344,146,32,391,.288,,
45,I,as 2B,1914,3680,,15281,13194,1699,3428,555,173,66,1327,564,526,1426,1076,.260,.336,.343,.679,4527,162,131,426,104,25,358,.277,,
46,I,as Outfield,1914,3680,,47048,41247,5537,11285,1703,748,327,4351,1965,1578,4132,4280,.274,.343,.375,.718,15465,410,382,943,344,77,1107,.296,,
47,I,as P,1914,3679,,11614,10549,741,1792,235,69,30,623,64,54,567,2786,.170,.214,.214,.427,2255,138,31,424,43,0,199,.227,,
48,I,Other,1914,1,,1,0,1,0,0,0,0,0,2,0,1,0,,1.000,,,0,0,0,0,0,0,0,,,
49,I,as Outfield,1915,3622,,46321,40476,5293,10803,1624,758,264,4353,1750,1463,4197,3920,.267,.339,.364,.703,14735,481,391,878,379,103,1009,.287,,
50,I,as P,1915,3622,,11564,10448,731,1840,263,74,32,685,50,49,598,2787,.176,.223,.225,.448,2347,136,47,421,49,2,179,.235,,
51,I,as PH,1915,1761,,2835,2481,231,544,63,26,11,335,48,22,282,506,.219,.301,.279,.580,692,36,23,18,31,16,40,.267,,
52,,as PR,1915,,,,,116,,,,,,28,13,,,,,,,,,,,,,,,,
53,I,at Def. Pos.,1915,3622,,59137,51878,6104,13101,1970,701,242,5064,1868,1468,4890,4876,.253,.320,.332,.651,17199,801,456,1460,452,190,1416,.272,,
54,I,at Off. Pos.,1915,3622,,63585,55876,6864,14524,2188,940,347,6047,2116,1696,5289,5620,.260,.327,.351,.678,19633,712,513,1385,519,146,1361,.281,,
55,I,as 3B,1915,3622,,14950,13123,1491,3230,461,162,53,1201,481,369,1141,1174,.246,.309,.318,.627,4174,185,110,457,118,20,341,.264,,
56,I,as C,1915,3622,,13634,12118,1075,2902,465,133,46,1141,221,151,1062,1259,.239,.304,.311,.615,3771,244,100,248,106,108,322,.262,,
57,I,as LF,1915,3622,,15421,13424,1711,3572,546,242,92,1420,546,522,1457,1300,.266,.340,.363,.703,4878,170,107,304,129,23,337,.286,,
58,I,as 1B,1915,3622,,14933,13271,1520,3542,562,218,101,1619,450,339,1048,1293,.267,.324,.365,.689,4843,174,128,354,130,38,322,.287,,
59,I,as 2B,1915,3622,,15038,13112,1642,3442,560,172,47,1276,511,409,1298,1054,.263,.332,.342,.674,4487,207,115,403,109,25,362,.280,,
60,I,as RF,1915,3622,,15446,13577,1795,3636,556,292,90,1472,563,431,1361,1347,.268,.338,.372,.710,5046,147,145,252,111,49,321,.289,,
61,I,as SS,1915,3622,,15011,13173,1600,3162,423,172,67,1186,495,398,1151,1290,.240,.304,.314,.617,4130,186,102,487,98,26,381,.260,,
62,I,as CF,1915,3622,,15454,13475,1787,3595,522,224,82,1461,641,510,1379,1273,.267,.338,.357,.695,4811,164,139,322,139,31,351,.287,,
63,I,as Infield,1915,3622,,73566,64797,7328,16278,2471,857,314,6423,2158,1666,5700,6070,.251,.315,.330,.645,21405,996,555,1949,561,217,1728,.271,,
64,I,Other,1915,4,,3,3,0,0,0,0,0,0,0,1,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,
65,I,Other,1916,1,,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,,
66,I,as CF,1916,2436,,10369,9149,1196,2561,373,154,74,895,501,363,859,918,.280,.344,.379,.723,3464,90,79,212,70,36,234,.302,,
67,I,as Infield,1916,2436,,49280,43547,4426,10741,1602,577,161,4024,1378,1213,3750,4203,.247,.309,.321,.630,13980,628,378,1222,383,179,1140,.267,,
68,I,as 3B,1916,2436,,10175,8981,979,2247,325,110,37,819,320,330,802,796,.250,.314,.323,.637,2903,132,64,263,65,23,234,.269,,
69,I,as C,1916,2436,,9063,8045,626,1892,297,98,17,710,140,108,695,828,.235,.299,.303,.602,2436,142,71,174,78,84,207,.258,,
70,I,as PH,1916,1337,,2254,1972,166,433,66,17,7,280,42,24,221,352,.220,.299,.281,.580,554,32,14,22,25,16,43,.260,,
71,,as PR,1916,,,,,112,,,,,,25,14,,,,,,,,,,,,,,,,
